Time,Temperature,Humidity,,,
4/29/2021 22:00,22.1,41,,,
4/30/2021 0:00,22,41,,,
4/30/2021 2:00,21.9,41,,,
4/30/2021 4:00,21.6,45.1,,,
4/30/2021 6:00,21.3,49.6,,,
4/30/2021 8:00,21.6,49.1,,,
4/30/2021 10:00,22.1,48.4,,,
4/30/2021 12:00,22.3,47.8,,,
4/30/2021 14:00,22.4,47.2,,,
4/30/2021 16:00,22.6,46.6,,,
4/30/2021 18:00,22.7,46,,,
4/30/2021 20:00,22.6,45.5,,,
4/30/2021 22:00,22.5,45,,,
5/1/2021 0:00,22.3,44.5,,,
5/1/2021 2:00,22.3,44,,,
5/1/2021 4:00,22.3,44,,,
5/1/2021 6:00,22.4,43.9,,,
5/1/2021 8:00,22.7,43.4,,,
5/1/2021 10:00,23,43,,,
5/1/2021 12:00,23,44.3,,,
5/1/2021 14:00,22.9,45.3,,,
5/1/2021 16:00,22.7,46,,,
5/1/2021 18:00,22.6,46,,,
5/1/2021 20:00,22.5,46,,,
5/1/2021 22:00,22.3,45.2,,,
5/2/2021 0:00,22.2,45,,,
5/2/2021 2:00,22.1,44.4,,,
5/2/2021 4:00,22,43,,,
5/2/2021 6:00,21.9,42,,,
5/2/2021 8:00,22,40.8,,,
5/2/2021 10:00,22.2,38.1,,,
5/2/2021 12:00,23,36.3,,,
5/2/2021 14:00,22.8,35.8,,,
5/2/2021 16:00,22.4,35.9,,,
5/2/2021 18:00,22.2,34.3,,,
5/2/2021 20:00,22,33,,,
5/2/2021 22:00,21.8,31.8,,,
5/3/2021 0:00,21.7,31.3,,,
5/3/2021 2:00,21.8,31,,,
5/3/2021 4:00,21.4,30.2,,,
5/3/2021 6:00,20.9,30.5,,,
5/3/2021 8:00,21.4,28.4,,,
5/3/2021 10:00,21.8,25.6,,,
5/3/2021 12:00,23.2,25.2,,,
5/3/2021 14:00,23.8,27.6,,,
5/3/2021 16:00,23.2,29,,,
5/3/2021 18:00,22.8,29,,,
5/3/2021 20:00,22.5,29.7,,,
5/3/2021 22:00,22.3,30.5,,,
5/4/2021 0:00,22.1,31,,,
5/4/2021 2:00,22,31,,,
5/4/2021 4:00,21.7,30.3,,,
5/4/2021 6:00,21.4,31.3,,,
5/4/2021 8:00,21.9,32.3,,,
5/4/2021 10:00,22.4,32.9,,,
5/4/2021 12:00,23.6,31.4,,,
5/4/2021 14:00,23.9,32.3,,,
5/4/2021 16:00,23.5,33.3,,,
5/4/2021 18:00,23.1,32.2,,,
5/4/2021 20:00,22.9,32,,,
5/4/2021 22:00,22.7,32.4,,,
