Time,Temperature,Humidity,,,
4/23/2021 10:00,23.1,27.6,,,
4/23/2021 12:00,23.7,26.8,,,
4/23/2021 14:00,24.2,28.8,,,
4/23/2021 16:00,24.2,29.7,,,
4/23/2021 18:00,23.9,28.3,,,
4/23/2021 20:00,23.6,28,,,
4/23/2021 22:00,23.4,28,,,
4/24/2021 0:00,23.1,28,,,
4/24/2021 2:00,22.9,28.3,,,
4/24/2021 4:00,22.8,28.3,,,
4/24/2021 6:00,22.6,29,,,
4/24/2021 8:00,22.9,28.1,,,
4/24/2021 10:00,23.3,27.3,,,
4/24/2021 12:00,23.8,27,,,
4/24/2021 14:00,24.1,27,,,
4/24/2021 16:00,24.1,27,,,
4/24/2021 18:00,23.9,27.3,,,
4/24/2021 20:00,23.6,28,,,
4/24/2021 22:00,23.4,28.8,,,
4/25/2021 0:00,23.2,29,,,
4/25/2021 2:00,23,29,,,
4/25/2021 4:00,22.8,29.9,,,
4/25/2021 6:00,22.7,30,,,
4/25/2021 8:00,22.9,29.2,,,
4/25/2021 10:00,23.3,29,,,
4/25/2021 12:00,23.8,29,,,
4/25/2021 14:00,24.1,28.9,,,
4/25/2021 16:00,24.1,28.1,,,
4/25/2021 18:00,23.9,28,,,
4/25/2021 20:00,23.6,29,,,
4/25/2021 22:00,23.4,29,,,
4/26/2021 0:00,23.2,29,,,
4/26/2021 2:00,23.2,29,,,
4/26/2021 4:00,23.1,29.3,,,
4/26/2021 6:00,23,30.7,,,
4/26/2021 8:00,22.9,32.1,,,
4/26/2021 10:00,23,33.6,,,
4/26/2021 12:00,23.2,36,,,
4/26/2021 14:00,23.2,37.2,,,
4/26/2021 16:00,23.2,37.5,,,
4/26/2021 18:00,23,36.1,,,
4/26/2021 20:00,22.9,36,,,
4/26/2021 22:00,22.8,35.5,,,
4/27/2021 0:00,22.7,35,,,
4/27/2021 2:00,22.6,35,,,
4/27/2021 4:00,22.6,35.4,,,
4/27/2021 6:00,22.6,36.9,,,
4/27/2021 8:00,22.6,36.8,,,
4/27/2021 10:00,22.8,36.7,,,
4/27/2021 12:00,23.1,36,,,
4/27/2021 14:00,23.5,35.5,,,
4/27/2021 16:00,23.6,36.5,,,
4/27/2021 18:00,23.4,35.7,,,
4/27/2021 20:00,23.2,35,,,
4/27/2021 22:00,23,35,,,
4/28/2021 0:00,22.9,35,,,
4/28/2021 2:00,22.8,35,,,
4/28/2021 4:00,22.8,35.4,,,
4/28/2021 6:00,22.7,37,,,
4/28/2021 8:00,22.9,36.7,,,
4/28/2021 10:00,23.2,35.6,,,
4/28/2021 12:00,23.6,35,,,
4/28/2021 14:00,23.9,34,,,
4/28/2021 16:00,23.8,36.9,,,
4/28/2021 18:00,23.7,36.3,,,
4/28/2021 20:00,23.5,35.6,,,
4/28/2021 22:00,23.4,35,,,
4/29/2021 0:00,23.2,36,,,
4/29/2021 2:00,23.1,36,,,
4/29/2021 4:00,23.1,36.8,,,
4/29/2021 6:00,23.1,40.6,,,
4/29/2021 8:00,23,43.5,,,
4/29/2021 10:00,22.9,43.9,,,
4/29/2021 12:00,22.8,43.5,,,
4/29/2021 14:00,22.9,43.4,,,
4/29/2021 16:00,22.8,44.1,,,
4/29/2021 18:00,22.6,43,,,
4/29/2021 20:00,22.5,42.5,,,
4/29/2021 22:00,22.3,42,,,
4/30/2021 0:00,22.2,42,,,
4/30/2021 2:00,22.1,42,,,
4/30/2021 4:00,21.9,43.2,,,
4/30/2021 6:00,22,46,,,
4/30/2021 8:00,22.2,47.2,,,
